,bin,OCURRED,LAG
605,572,12/08/21,0
606,573,12/08/21,0
607,574,12/08/21,0
608,575,12/08/21,0
609,562,12/07/21,0
610,576,12/07/21,0
611,577,12/07/21,0
612,578,12/07/21,0
613,579,12/06/21,0
614,366,12/06/21,0
615,580,12/06/21,0
616,581,12/05/21,0
617,582,12/05/21,0
618,583,12/05/21,0
619,584,12/05/21,0
620,585,12/03/21,0
621,586,12/03/21,0
622,587,12/02/21,0
623,588,12/02/21,0
624,589,12/02/21,0
625,590,12/02/21,0
626,591,12/01/21,0
627,592,12/01/21,0
628,593,11/30/21,0
629,594,11/30/21,0
630,595,11/30/21,0
631,596,11/29/21,0
632,597,11/28/21,0
633,598,11/28/21,0
634,599,11/28/21,0
635,600,11/28/21,0
636,601,11/28/21,0
637,602,11/28/21,0
638,603,11/28/21,0
639,604,11/28/21,0
640,605,11/28/21,0
641,273,11/27/21,0
642,606,11/26/21,0
643,607,11/26/21,0
644,608,11/26/21,0
645,609,11/26/21,0
646,610,11/24/21,0
647,611,11/23/21,0
648,612,11/22/21,0
649,205,11/22/21,0
650,613,11/22/21,0
651,614,11/22/21,0
652,615,11/22/21,0
653,616,11/21/21,0
654,617,11/21/21,0
655,618,11/20/21,0
656,619,11/19/21,0
657,100,11/19/21,0
658,620,11/19/21,0
659,621,11/18/21,0
660,622,11/17/21,0
661,623,11/17/21,0
662,624,11/17/21,0
663,625,11/17/21,0
664,626,11/16/21,0
665,627,11/16/21,0
666,628,11/16/21,0
667,629,11/16/21,0
668,630,11/15/21,0
669,631,11/15/21,0
670,632,11/14/21,0
671,633,11/14/21,0
672,315,11/14/21,0
673,634,11/13/21,0
674,635,11/13/21,0
675,636,11/12/21,0
676,637,11/12/21,0
677,638,11/11/21,0
678,639,11/11/21,0
679,640,11/11/21,0
680,641,11/11/21,0
681,642,11/11/21,0
682,643,11/11/21,0
683,111,11/09/21,0
684,644,11/08/21,0
685,645,11/08/21,0
686,646,11/07/21,0
