,latitude,longitude
305,29.4444053,-98.5296005
306,41.524597,-88.18921
307,35.1307156,-106.4979037
308,43.16,-77.66
309,37.791313,-79.98817
310,34.5673,-118.00653
311,46.2296416,-119.095851
312,34.5956805,-87.0659359
313,37.98,-120.33
314,33.8,-78.95
315,32.54,-110.87
316,33.437148,-112.2210357
317,33.83,-83.89
318,32.2247482,-81.1663829
319,32.507053,-84.953445
320,32.250286,-90.402016
321,39.1012787,-94.4128231
322,25.9422727,-80.3068443
323,35.5556282,-89.6565519
324,34.07,-84.64
325,43.16829,-83.01658
326,29.546211,-95.03095
327,37.086567,-94.47717
328,25.8395502,-80.2129908
329,38.8385181,-104.7766842
330,35.01,-85.7
331,30.3329593,-97.7045795
332,41.0,-80.35
333,37.51382,-77.40274
334,33.6817608,-112.2550299
335,47.60402,-122.3355
336,29.44,-98.58
337,35.000786,-117.65803
338,34.2960731,-83.8478874
339,40.377354,-85.20637
340,32.046234,-102.17101
341,33.874733,-118.15126
342,33.826775,-117.920105
343,39.671234,-104.9006
344,47.0907508,-123.0763492
345,29.738398,-95.517136
346,35.442524,-97.48846
347,38.66012,-90.02783
348,35.64,-106.02
349,39.99102,-79.58575
350,30.33797,-81.75205
351,39.9163118,-75.1780438
352,43.93,-69.95
353,38.79,-119.39
354,43.37419,-112.13824
355,29.849888,-95.28447
356,40.333712,-99.8981502
357,29.5316381,-95.8083118
358,25.9928776,-80.118639
359,44.78,-69.37
360,42.3917439,-82.9691372
361,34.69,-106.79
362,38.58,-77.77
363,38.58,-77.77
364,47.25344,-122.43542
365,35.0311185,-106.2038796
366,39.477196,-119.80104
367,32.70927,-103.136215
368,32.84,-83.63
369,33.52978,-86.7715
370,30.2162912,-92.3747326
371,43.0716492,-87.9151843
372,29.7052,-95.5185
373,38.311047,-104.71906
374,32.477287,-83.71212
375,35.788,-83.92532
376,41.08583,-81.54863
377,37.91,-121.33
378,36.3475728,-94.1169917
379,29.7958042,-98.7493996
380,26.231062,-80.21916
381,43.04,-72.39
382,35.327385,-119.026344
383,32.55475,-116.93741
384,45.50367,-122.689964
385,28.597675,-81.36348
386,39.327568,-76.58932
387,46.66,-122.97
388,31.247435,-85.42275
389,37.69985,-121.89814
390,31.858067,-102.35789
391,33.4150299,-111.8567137
392,40.56,-111.94
393,36.9,-113.93
394,34.11431,-117.920845
395,40.2393895,-77.2397553
396,30.0077088,-95.4264341
397,47.23,-122.46
398,29.89864,-90.12573
399,40.33,-74.56
400,35.22,-101.88
401,45.77119,-108.532974
402,29.872326,-95.69076
403,34.7906,-118.57715
404,33.32,-86.82
405,39.9271571,-75.1821029
406,35.037308,-106.17638
407,33.59,-85.88
408,25.767176,-80.224803
409,40.885387,-96.396675
410,35.52,-84.35
411,38.948051,-92.2043092
412,35.42722,-80.6137
413,37.85,-83.04
414,42.33,-83.05
415,42.45,-71.23
416,42.8841241,-78.87379
417,47.21181,-122.292366
418,39.73768,-104.805916
419,39.4404455,-84.3408736
420,29.971046,-90.04029
421,33.6566451,-117.6956563
422,45.33,-84.54
423,36.4346682,-78.5657477
424,35.42,-119.02
425,39.5788511,-104.7927265
426,29.1838505,-81.0084731
427,35.852848,-90.703384
428,33.42212,-111.8743761
429,27.7431099,-97.4039962
430,36.13935,-82.106384
431,43.2397363,-76.2100915
432,33.4657524,-112.0172499
433,44.97327,-122.99505
434,39.033714,-94.55707
